L50,おげんきでいらっしゃいますか,お元気でいらっしゃいますか,How are you doing? (respectful equivalent of おげんきですか)
L50,めいわくをかけます,迷惑をかけます,trouble / annoy / inconvenience
L50,いかします,生かします,make good use of
L50,[お]しろ,[お]城,castle
L50,けいぐ,敬具,Sincerely yours
L50,ミュンヘン,,Munich (in Germany)
Set,Word,Kanji,Meaning
N5,ああ,,Ah!
N5,あう,会う,to meet
N5,あおい,青い,blue
N5,あかい,赤い,red
N5,あかるい,明るい,light / bright
N5,あき,秋,autumn / fall
N5,あく,開く,open
N5,あける,開ける,to open
N5,あげる,,to give
N5,あさ,朝,morning
N5,あさごはん,朝ご飯,breakfast
N5,あさって,あさって,the day after tomorrow
N5,あし,足,leg / foot
N5,あした,明日,tomorrow
N5,あそこ,あそこ,over there
N5,あそぶ,遊ぶ,to play
N5,あたたかい,温かい,warm
N5,あたま,頭,head
N5,あたらしい,新しい,new
N5,あちら,あちら,over there (polite)
N5,あつい,暑い,hot (air)
N5,あつい,厚い,thick
N5,あと,後,later / after
N5,あなた,貴方,you
N5,あに,兄,older brother
N5,あね,姉,older sister
N5,あの,あの,that (over there)
N5,あの,あの,well / then
N5,アパート,アパート,apartment
N5,あびる,浴びる,to take a shower
N5,あぶない,危ない,dangerous
N5,あまい,甘い,sweet
N5,あまり,あまり,not so
N5,あめ,雨,rain
N5,あらう,洗う,to wash
N5,ある,有る,to be / to exist
N5,ある,ある,to possess
N5,あるく,歩く,to walk
N5,あれ,あれ,that one
N5,いい / よい,良い,good
N5,いいえ,いいえ,no
N5,いう,言う,to say / to tell
N5,いえ,家,house / home
N5,いく,行く,to go
N5,いくつ,いくつ,how many / how old
N5,いくら,いくら,how much
N5,いけ,池,pond
N5,いしゃ,医者,doctor
N5,いす,椅子,chair
N5,いそがしい,忙しい,to be busy
N5,いたい,痛い,to be painful
N5,いち,一,one
N5,いちにち,一日,one day
N5,いちばん,一番,No. 1 / the best / the first
N5,いつ,いつ,when
N5,いつか,五日,the 5th day of the month / 5 days
N5,いっしょ,一緒,together
N5,いつつ,五つ,five
N5,いつも,いつも,always
N5,いま,今,now
N5,いみ,意味,meaning
N5,いもうと,妹,someone’s younger sister
N5,いや,いや,not likable / unpleasant
N5,いりぐち,入口,entrance
N5,いる,,need / must have / be required
N5,いる,,to exist
N5,いれる,入れる,to insert / to put in
N5,いろ,色,color
N5,いろいろ,色々,various
N5,うえ,上,top / on / above
N5,うしろ,後ろ,back / rear / behind
N5,うすい,薄い,thin
N5,うた,歌,song
N5,うたう,歌う,to sing
N5,うち,内,home
N5,うまれる,生まれる,to be born
N5,うみ,海,sea
N5,うる,売る,to sell
N5,うわぎ,上着,coat / jacket
N5,え,絵,picture
N5,えいが,映画,movie
N5,えいがかん,映画館,cinema
N5,えいご,英語,English language
N5,ええ,ええ,Yes / I see
N5,えき,駅,station
N5,エレベータ,エレベータ,elevator
N5,えん,円,Yen
N5,えんぴつ,鉛筆,pencil
N5,お,御,honorific prefix
N5,おいしい,美味しい,tasty / delicious
N5,おおきい,大きい,big
N5,おおぜい,,many people
N5,おかあさん,お母さん,my own mother
N5,おかし,お菓子,confectionary / cake
N5,おかね,お金,money
N5,おきる,起きる,to get up / to stand up
N5,おく,置く,to put / to place
N5,おくさん,奥さん,someone’s wife
N5,おくる,送る,to send
N5,おさけ,お酒,alcohol / sake
N5,おさら,お皿,plate
N5,おじさん,伯父さん,uncle
N5,おじいさん,おじいさん,grand father
N5,おす,押す,to push
N5,おそい,遅い,late / slow
N5,おちゃ,お茶,tea
N5,おてあらい,お手洗い,toilet / lavatory
N5,おとうさん,お父さん,father
N5,おとうと,弟,someone’s younger brother
N5,おとこ,男,man
N5,おとこのこ,男の子,boy
N5,おととい,一昨日,the day before yesterday
N5,おととし,一昨年,the year before last
N5,おとな,大人,adult
N5,おなか,お腹,stomach
N5,おなじ,同じ,same
N5,おにいさん,お兄さん,someone’s elder brother
N5,おねえさん,お姉さん,someone’s elder sister
N5,おばさん,伯母さん,aunt
N5,おばあさん,,grandmother
N5,おべんとう,お弁当,lunchbox
N5,おぼえる,覚える,to memorize / to remember
N5,おもい,重い,heavy
N5,おもしろい,面白い,interesting / funny
N5,およぐ,泳ぐ,to swim
N5,おりる,降りる,to get off
N5,おわる,終わる,to end
N5,おんがく,音楽,music
N5,おんな,女,woman
N5,おんなのこ,女の子,girl
N5,〜かい,〜回,~times
N5,〜かい,〜階,~floor
N5,がいこく,外国,foreign country
N5,がいこくじん,外国人,foreigner
N5,かいしゃ,会社,company / enterprise
N5,かいだん,階段,stairs
N5,かいもの,買物,shopping
N5,かう,買う,to buy
N5,かえす,返す,to return an object
N5,かえる,帰る,to return home
N5,かお,顔,face
N5,かかる,,to take time / money
N5,かぎ,鍵,key
N5,かく,書く,to write
N5,がくせい,学生,student
N5,〜かげつ,〜か月,~ number of months
N5,かける,,to wear
N5,かける,,to make a phone call
N5,かさ,傘,umbrella
N5,かす,貸す,to lend
N5,かぜ,風,wind
N5,かぜ,風邪,a cold
N5,かぞく,家族,family
N5,かた,方,person (polite)
N5,かたかな,片仮名,Katakana
N5,いちがつ,一月,January
N5,にがつ,二月,February
N5,さんがつ,三月,March
N5,しがつ,四月,April
N5,ごがつ,五月,May
N5,ろくがつ,六月,June
N5,しちがつ,七月,July
N5,はちがつ,八月,August
N5,くがつ,九月,September
N5,じゅうがつ,十月,October
N5,じゅういちがつ,十一月,November
N5,じゅうにがつ,十二月,December
N5,がっこう,学校,school
N5,かど,角,corner
N5,かない,家内,my wife
N5,かばん,鞄,bag
N5,かびん,花瓶,vase
N5,かぶる,冠る,to put on a hat
N5,かみ,紙,paper
N5,かめら,カメラ,camera
N5,かようび,火曜日,Tuesday
N5,からい,辛い,hot / spicy
N5,からだ,体,body
N5,かりる,借りる,to borrow
N5,〜がります,,3rd person wants to
N5,かるい,軽い,light (not heavy)
N5,カレンダー,カレンダー,calendar
N5,かわ,川,river
N5,~がわ,〜側,~side
N5,かわいい,可愛い,cute / pretty
N5,かんじ,漢字,Kanji character
N5,き,木,tree
N5,きいろい,黄色い,yellow
N5,きえる,消える,to go out / to vanish
N5,きく,聞く,to hear / to listen / to ask
N5,きた,北,north
N5,ギター,ギター,guitar
N5,きたない,汚い,dirty
N5,きっさてん,喫茶店,coffee shop
N5,きって,切手,stamp
N5,きっぷ,切符,ticket
N5,きのう,昨日,yesterday
N5,きゅう,九,nine
N5,ぎゅうにく,牛肉,beef
N5,ぎゅうにゅう,牛乳,milk
N5,きょう,今日,today
N5,きょうしつ,教室,class room
N5,きょうだい,兄弟,siblings
N5,きょねん,去年,last year
N5,きらい,嫌い,unpleasant / not likable
N5,きる,切る,to cut
N5,きる,着る,to wear / to put on
N5,くる,来る,to come
N5,きれい,,beautiful / clean
N5,キロ,キロ,kg
N5,キロ,キロ,km
N5,ぎんこう,銀行,bank
N5,きんようび,金曜日,Friday
N5,く,九,nine
N5,くすり,薬,medicine
N5,ください,下さい,give me…
N5,くだもの,果物,fruit
N5,くち,口,mouth
N5,くつ,靴,shoe
N5,くつした,靴下,socks
N5,くに,国,country
N5,くもり,曇り,cloudy weather
N5,くらい,暗い,dark
N5,ぐらい,ぐらい,about
N5,クラス,クラス,class
N5,グラム,グラム,gram
N5,くるま,車,car
N5,くろい,黒い,black
N5,けさ,今朝,this morning
N5,けす,消す,to turn off / switch off
N5,けっこう,,fine / all right
N5,けっこん,結婚,marriage
N5,げつようび,月曜日,Monday
N5,げんかん,玄関,entrance of a house
N5,げんき,元気,vigor / health / vitality
N5,〜こ,〜個,counter for small objects
N5,ご,五,five
N5,〜ご,〜語,~ language
N5,こうえん,公園,park / large garden
N5,こうばん,交番,police box
N5,こえ,声,voice
N5,コート,コート,coat
N5,ここ,ここ,here
N5,ごご,午後,afternoon
N5,ここのか,九日,9th day of a month / 9 days
N5,ここのつ,九つ,nine
N5,ごしゅじん,ご主人,someone else’s husband
N5,ごぜん,午前,morning / a.m.
N5,こたえる,答える,to answer
N5,こちら,こちら,this side / this place
N5,コップ,コップ,cup / glass
N5,ことし,今年,this year
N5,ことば,言葉,phrase / language
N5,こども,子供,child
N5,この,この,this…
N5,ごはん,御飯,meal / cooked rice
N5,こまる,困る,to be in trouble
N5,これ,これ,this
N5,ごろ,ごろ,around…
N5,こんげつ,今月,this month
N5,こんしゅう,今週,this week
N5,こんな,こんな,this sort of / this kind of
N5,こんばん,今晩,this evening
N5,さあ,さあ,well…
N5,〜さい,〜歳,years old
N5,さかな,魚,fish
N5,さき,先,earlier / former
N5,さく,咲く,to blossom
N5,さくぶん,作文,composition
N5,さす,,to open an umbrella
N5,〜さつ,冊,counter for books
N5,ざっし,雑誌,magazine
N5,さとう,砂糖,sugar
N5,さむい,寒い,cold
N5,さらいねん,再来年,the year after next year
N5,さん,三,three
N5,〜さん,〜さん,Mr. / Mrs.
N5,さんぽ,散歩,to take a walk
N5,し,四,four
N5,〜じ,〜時,o’clock
N5,しお,塩,salt
N5,しかし,しかし,however / but
N5,じかん,時間,time
N5,〜じかん,〜 時間,~hours ( classificator )
N5,しごと,仕事,work
N5,じしょ,辞書,dictionary
N5,しずか,静か,quiet
N5,した,下,under / below
N5,しつもん,質問,question
N5,じてんしゃ,自転車,bicycle
N5,じどうしゃ,自動車,car / vehicle
N5,しぬ,死ぬ,to die / to pas away
N5,じびき,字引,dictionary
N5,じぶん,自分,oneself
N5,しまる,閉まる,to close
N5,しめる,閉める,to close
N5,しめる,締める,to fasten a seatbelt
N5,じゃ,じゃ,well / then
N5,しゃしん,写真,photo
N5,シャツ,シャツ,shirt
N5,じゅう,十,ten
N5,〜しゅうかん,~週間,… weeks
N5,じゅぎょう,授業,lesson / class
N5,しゅくだい,宿題,homework
N5,じょうず,上手,to be good at something
N5,じょうぶ,丈夫,to be strong / durable
N5,しょうゆ,醤油,soy sauce
N5,しょくどう,食堂,dining room / canteen
N5,しる,知る,to know
N5,しろい,白い,white
N5,〜じん,〜人,~an / ~ese (nationality)
N5,しんぶん,新聞,newspaper
N5,すいようび,水曜日,Wednesday
N5,すう,吸う,to breathe / to smoke
N5,スカート,スカート,skirt
N5,すき,好き,to like
N5,〜すぎ,〜過ぎ,past / over
N5,すぐに,すぐに,at once
N5,すこし,少し,a little
N5,すずしい,涼しい,cool
N5,〜ずつ,〜ずつ,each
N5,ストーブ,ストーブ,stove / heater
N5,スプーン,スプーン,spoon
N5,スポーツ,スポーツ,sports
N5,ズボン,ズボン,trousers
N5,すむ,住む,to live / to reside somewhere
N5,スリッパ,スリッパ,slipper
N5,する,する,to do
N5,すわる,座る,to sit
N5,せい,背,height
N5,せいと,生徒,student
N5,セーター,セーター,sweater
N5,せっけん,石鹸,soap
N5,せびろ,背広,jacket / suit
N5,せまい,狭い,narrow
N5,ゼロ,ゼロ,zero
N5,せん,千,1000 / thousand
N5,せんげつ,先月,last month
N5,せんしゅう,先週,last week
N5,せんせい,先生,teacher
N5,せんたく,洗濯,washing / to wash
N5,ぜんぶ,全部,all
N5,そう,そう,so
N5,そうじ,掃除,to clean
N5,そうして,そうして,and then
N5,そこ,そこ,there
N5,そちら,そちら,there (polite)
N5,そと,外,outside
N5,その,その,that…
N5,そば,そば,next to
N5,そら,空,sky
N5,それ,それ,that
N5,それから,それから,after that
N5,それでは,それでは,then / well
N5,〜だい,〜台,counter for machines
N5,だいがく,大学,university
N5,たいしかん,大使館,embassy
N5,だいじょうぶ,大丈夫,OK
N5,だいすき,大好き,to be very fond of
N5,たいせつ,大切,very important
N5,たいてい,,mostly / usually
N5,だいどころ,台所,kitchen
N5,たいへん,大変,very / serious
N5,たかい,高い,high / expensive
N5,たくさん,沢山,many / much
N5,タクシー,タクシー,taxi
N5,だす,出す,to take out / hand in
N5,〜たち,~達,more than one / and others
N5,たつ,立つ,to stand
N5,たてもの,建物,building
N5,たのしい,楽しい,pleasant / enjoyable
N5,たのむ,頼む,to ask / to request
N5,たばこ,たばこ,cigarette
N5,たぶん,多分,perhaps / probably
N5,たべもの,食べ物,food
N5,たべる,食べる,to eat
N5,たまご,卵,egg
N5,だれ,誰,who?
N5,たんじょうび,誕生日,birthday
N5,だんだん,だんだん,gradually
N5,ちいさい,小さい,small
N5,ちかい,近い,near / close
N5,ちがう,違う,different
N5,ちかてつ,地下鉄,subway
N5,ちず,地図,map
N5,ちち,父,my father
N5,ちゃいろ,茶色,brown
N5,ちゃわん,茶碗,rice bowl
N5,〜ちゅう,〜中,in the middle of
N5,ちょうど,ちょうど,just
N5,ちょっと,ちょっと,a little
N5,ついたち,一日,the 1st day of a month
N5,つかう,使う,to use
N5,つかれる,疲れる,to get tired
N5,つぎ,次,next
N5,つく,着く,to arrive
N5,つくえ,机,table
N5,つくる,作る,to make / to produce
N5,つける,点ける,to turn on
N5,つとめる,勤める,to work for someone
N5,つまらない,詰らない,uninteresting
N5,つめたい,冷たい,cold
N5,つよい,強い,strong
N5,て,手,hand
N5,テープ,テープ,tape
N5,テープレコーダー,テープレコーダー,tape recorder
N5,テーブル,テーブル,table
N5,でかける,出かける,to go out
N5,てがみ,手紙,letter
N5,できる,出来る,can
N5,でぐち,出口,exit
N5,テスト,テスト,test
N5,では,では,then / well
N5,デパート,デパート,department store
N5,でも,でも,but
N5,でます,出ます,to leave
N5,テレビ,テレビ,TV
N5,てんき,天気,weather
N5,でんき,電気,electricity
N5,でんしゃ,電車,train
N5,でんわ,電話,phone
N5,と,戸,door
N5,〜ど,〜度,~times / ~degree
N5,ドア,ドア,door
N5,トイレ,トイレ,toilet / lavatory
N5,どう,どう,how?
N5,どうして,どうして,why?
N5,どうぞ,どうぞ,please / here you are
N5,どうぶつ,動物,animal
N5,どうも,どうも,thanks
N5,とお,十,ten
N5,とおい,遠い,far
N5,とおか,十日,the 10th day of a month / 10 days
N5,ときどき,時々,sometimes
N5,とけい,時計,watch / clock
N5,どこ,どこ,where?
N5,ところ,所,place
N5,としょかん,図書館,library
N5,どちら,どちら,which / where (polite)
N5,とても,とても,very much / quiet
N5,どなた,どなた,who (polite)
N5,となり,隣り,next to
N5,どの,どの,which?
N5,とぶ,飛ぶ,to fly
N5,とまる,止まる,to stop
N5,ともだち,友達,friend
N5,どようび,土曜日,Saturday
N5,とり,鳥,bird
N5,とりにく,鶏肉,chicken meat
N5,とる,取る,to take
N5,とる,撮る,to take a photo
N5,どれ,どれ,which?
N5,どんな,どんな,what kind of?
N5,ナイフ,ナイフ,knife
N5,なか,中,inside
N5,ながい,長い,long
N5,なく,鳴く,to sing / mew / moo
N5,なつ,夏,summer
N5,なつやすみ,夏休み,summer vacation
N5,〜など,〜など,and so on
N5,ななつ,七つ,seven
N5,なに,何,what?
N5,なのか,七日,the 7th of a month / 7 days
N5,なまえ,名前,name
N5,ならう,習う,to learn
N5,ならぶ,並ぶ,to form a line
N5,ならべる,並べる,to line up
N5,なる,,to become
N5,に,二,two
N5,にぎやか,賑やか,lively
N5,おにく,お肉,meat
N5,にし,西,west
N5,〜にち,〜日,…st / ..nd / ..th
N5,にちようび,日曜日,Sunday
N5,にもつ,荷物,luggage
N5,ニュース,ニュース,news
N5,にわ,庭,garden
N5,~にん,〜人,… people
N5,ぬぐ,脱ぐ,to take off clothes
N5,ネクタイ,ネクタイ,necktie
N5,ねる,寝る,to go to bed
N5,〜ねん,〜年,~years
N5,ノート,ノート,notebook
N5,のぼる,登る,to climb up
N5,のみもの,飲物,drinks
N5,のむ,飲む,to drink
N5,のる,乗る,to take / to ride
N5,は,歯,teeth
N5,パーテイー,パーテイー,party
N5,はい,はい,yes
N5,〜はい,〜はい,cups of ~
N5,はいざら,灰皿,ashtray
N5,はいる,入る,to enter
N5,はがき,葉書,postcard
N5,はく,履く,to put on shoes
N5,はこ,箱,box
N5,はし,橋,bridge
N5,はし,箸,chopsticks
N5,はじまる,始まる,to begin / to start
N5,はじめ,始め,start / the beginning
N5,はじめて,初めて,for the first time
N5,はしる,走る,to run
N5,バス,バス,bus
N5,バター,バター,butter
N5,はたち,二十歳,20 years old
N5,はたらく,働く,to work
N5,はち,八,eight
N5,はつか,二十日,the 20th of the month / 20 days
N5,はな,花,flower
N5,はな,鼻,nose
N5,はなし,話,conversation / tale
N5,はなす,話す,to talk / to speak / to tell
N5,はは,母,my mother
N5,はやい,早い,early
N5,はやい,速い,fast / quick
N5,はる,春,spring
N5,はる,張る,to put something on / to stick
N5,はれる,晴れる,to clear up
N5,〜はん,〜半,Half~
N5,ばん,晩,evening
N5,〜ばん,~番,No.~ / ranking
N5,パン,パン,bread
N5,ハンカチ,ハンカチ,handkerchief
N5,ばんごう,番号,number
N5,ばんごはん,晩ご飯,dinner
N5,はんぶん,半分,half
N5,ひがし,東,east
N5,〜ひき,〜匹,counter for animals
N5,ひく,引く,to pull
N5,ひく,弾く,to play (an instrument)
N5,ひくい,低い,low
N5,ひこうき,飛行機,plane
N5,ひだり,左,left
N5,ひと,人,person
N5,ひとつ,一つ,one
N5,ひとつき,一月,one month
N5,ひとり,一人,one person
N5,ひま,暇,free time / leisure
N5,ひゃく,百,hundred
N5,びょういん,病院,hospital
N5,びょうき,病気,ill / sick
N5,ひらがな,平仮名,hiragana characters
N5,ひる,昼,noon
N5,ひるごはん,昼ご飯,lunch
N5,ひろい,広い,wide / spacious
N5,フィルム,フィルム,film
N5,ふうとう,封筒,envelope
N5,プール,プール,pool
N5,フォーク,フォーク,fork
N5,ふく,吹く,to blow (wind)
N5,ふく,服,clothes
N5,ふたつ,二つ,two
N5,ぶたにく,豚肉,pork
N5,ふたり,二人,two people
N5,ふつか,二日,2nd day of the month / 2 days
N5,ふとい,太い,thick / fat
N5,ふる,降る,to fall (rain / snow)
N5,ふるい,古い,old
N5,おふろ,お風呂,bath
N5,〜ふん,〜分,~minutes
N5,ページ,ページ,page
N5,へた,下手,not good at something
N5,ベッド,ベッド,bed
N5,へや,部屋,room
N5,へん,辺,side / part / area
N5,ぺん,ペン,pen
N5,べんきょう,勉強,to study
N5,べんり,便利,convenient
N5,ほう,方,~より〜のほうが〜
N5,ぼうし,帽子,hat
N5,ボールペン,ボールペン,ballpen
N5,ほか,他,another / other
N5,ポケット,ポケット,pocket
N5,ほしい,欲しい,to want something
N5,ほそい,細い,thin / fine
N5,ボタン,ボタン,button
N5,ホテル,ホテル,hotel
N5,ほん,本,book
N5,~ほん,〜本,counter for long objects
N5,ほんだな,本棚,bookshelf
N5,ほんとうに,本当に,really
N5,〜まい,〜枚,counter for thin objects
N5,まいあさ,毎朝,every morning
N5,まいつき/まいげつ,毎月,every month
N5,まいしゅう,毎週,every week
N5,まいにち,毎日,every day
N5,まいとし/まいねん,毎年,every year
N5,まいばん,毎晩,every evening
N5,まえ,前,front
N5,〜まえ,〜前,before / in front of
N5,まがる,曲がる,to turn
N5,まずい,不味い,bad tasting
N5,また,また,also / again
N5,まだ,まだ,not yet
N5,まち,町,city / town
N5,まつ,待つ,to wait
N5,まっすぐに,真直ぐに,straight ahead
N5,マッチ,マッチ,matches
N5,まど,窓,window
N5,まるい,丸い,round
N5,まん,万,ten thousand
N5,まんねんひつ,万年筆,fountain pen
N5,みがく,磨く,to polish / to brush
N5,みぎ,右,right
N5,みじかい,短い,short
N5,おみず,お水,water
N5,みせ,店,shop
N5,みせる,見せる,to look / to watch
N5,みち,道,road
N5,みっか,三日,3rd day of a month / 3 days
N5,みっつ,三つ,three
N5,みなさん,皆さん,everyone
N5,みなみ,南,south
N5,みみ,耳,ear
N5,みる,見る,to see / to watch
N5,みんな,皆,all / everyone
N5,むいか,六日,the 6th day of a month / 6 days
N5,むこう,向こう,over there
N5,むずかしい,難しい,difficult
N5,むっつ,六つ,six
N5,め,目,eye
N5,メートル,メートル,meter
N5,めがね,めがね,a pair of glasses
N5,もう,もう,already / yet
N5,もう,もう,(one) more
N5,もくようび,木曜日,Thursday
N5,もしもし,もしもし,hello on the phone
N5,もちろん,勿論,of course
N5,もつ,持つ,to have / to own
N5,もっと,もっと,more
N5,もの,物,thing
N5,もん,門,gate
N5,もんだい,問題,problem / question
N5,〜や,〜屋,shop. store
N5,やおや,八百屋,vegetable shop
N5,やさい,野菜,vegetable
N5,やさしい,優しい,gentle
N5,やすい,安い,cheap / inexpensive
N5,やすみ,休み,holiday / vacation
N5,やすむ,休む,to rest
N5,やっつ,八つ,eight
N5,やま,山,mountain
N5,やる,,to do
N5,ようか,八日,8th day of the month / 8 days
N5,ようふく,洋服,western style clothing
N5,よく,よく,often
N5,よこ,横,horizontal
N5,よっか,四日,4th day of the month / 4 days
N5,よっつ,四つ,four
N5,よぶ,呼ぶ,to call
N5,よむ,読む,to read
N5,よる,夜,night
N5,らいげつ,来月,next month
N5,らいしゅう,来週,next week
N5,らいねん,来年,next year
N5,ラジオ,ラジオ,radio
N5,りっぱ,立派,splendid
N5,りゅうがくせい,留学生,foreign student
N5,りょうしん,両親,parents
N5,りょうり,料理,cooking
N5,りょこう,旅行,travel
N5,れいぞうこ,冷蔵庫,refrigerator
N5,レコード,レコード,record
N5,レストラン,レストラン,restaurant
N5,れんしゅう,練習,practice
N5,ろく,六,six
N5,ワイシャツ,ワイシャツ,white shirt
N5,わかい,若い,young
N5,わかる,分かる,to know / to understand
N5,わすれる,忘れる,to forget
N5,わたし,私,me / I
N5,わたす,渡す,to hand over
N5,わたる,渡る,to cross
N5,わるい,悪い,bad
N4,あ,あ,Ah! / Oh!
N4,ああ,ああ,Ah!
N4,あいさつ,挨拶,greeting
N4,あいだ,間,between
N4,あう,合う,fit / suit
N4,あう,会う,to meet
N4,あおい,青い,blue
N4,あかい,赤い,red
N4,あかちゃん,赤ちゃん,baby / newborn
N4,あがる,上がる,to go up
N4,あかるい,明るい,light / bright
N4,あかんぼう,赤ん坊,baby / newborn
N4,あき,秋,autumn / fall
N4,あく,開く,open
N4,あく,空く,empty / has space
N4,あける,開ける,to open
N4,あげる,上げる,to rise
N4,あげる,,to give
N4,あさ,朝,morning
N4,あさごはん,朝ご飯,breakfast
N4,あさって,あさって,the day after tomorrow
N4,あさねぼう,朝寝坊,a late riser
N4,あし,足,leg / foot
N4,あじ,味,taste / flavor
N4,あした,明日,tomorrow
N4,あす,明日,tomorrow (polite)
N4,あそこ,あそこ,over there
N4,あそぶ,遊ぶ,to play
N4,あたたかい,温かい,warm
N4,あたま,頭,head
N4,あたらしい,新しい,new
N4,あちら,あちら,over there (polite)
N4,あつい,暑い,hot (air)
N4,あつい,厚い,thick
N4,あと,後,later / after
N4,あなた,貴方,you
N4,あに,兄,older brother
N4,あね,姉,older sister
N4,あの,あの,that (over there)
N4,あの,あの,well / then
N4,アパート,アパート,apartment
N4,あびる,浴びる,to take a shower
N4,あぶない,危ない,dangerous
N4,あまい,甘い,sweet
N4,あまり,あまり,not so
N4,あめ,雨,rain
N4,あらう,洗う,to wash
N4,ある,有る,to be / to exist
N4,ある,ある,to possess
N4,ありく,歩く,to walk
N4,あれ,あれ,that one
N4,いい / よい,良い,good
N4,いいえ,いいえ,no
N4,いう,言う,to say / to tell
N4,いえ,家,house / home
N4,いく,行く,to go
N4,いくつ,いくつ,how many / how old
N4,いくら,いくら,how much
N4,いけ,池,pond
N4,いしゃ,医者,doctor
N4,いす,椅子,chair
N4,いそがしい,忙しい,to be busy
N4,いたい,痛い,to be painful
N4,いち,一,one
N4,いちにち,一日,one day
N4,いちばん,一番,No. 1 / the best / the first
N4,いつ,いつ,when
N4,いつか,五日,the 5th day of the month / 5 days
N4,いっしょ,一緒,together
N4,いつつ,五つ,five
N4,いつも,いつも,always
N4,いま,今,now
N4,いみ,意味,meaning
N4,いもうと,妹,someone’s younger sister
N4,いや,いや,not likable / unpleasant
N4,いりぐち,入口,entrance
N4,いる,,need / must have / be required
N4,いる,,to exist
N4,いれる,入れる,to insert / to put in
N4,いろ,色,color
N4,いろいろ,色々,various
N4,うえ,上,top / on / above
N4,うしろ,後ろ,back / rear / behind
N4,うすい,薄い,thin
N4,うた,歌,song
N4,うたう,歌う,to sing
N4,うち,内,home
N4,うまれる,生まれる,to be born
N4,うみ,海,sea
N4,うる,売る,to sell
N4,うわぎ,上着,coat / jacket
N4,え,絵,picture
N4,えいが,映画,movie
N4,えいがかん,映画館,cinema
N4,英語,英語,English language
N4,ええ,ええ,Yes / I see
N4,えき,駅,station
N4,エレベータ,エレベータ,elevator
N4,えん,円,Yen
N4,えんぴつ,鉛筆,pencil
N4,お,御,honorific prefix
N4,おいしい,美味しい,tasty / delicious
N4,おおきい,大きい,big
N4,おおぜい,,many people
N4,おかあさん,お母さん,my own mother
N4,okashi,お菓子,confectionary / cake
N4,おかね,お金,money
N4,おきる,起きる,to get up / to stand up
N4,おきる,,to put
N4,おくさん,奥さん,someone’s wife
N4,おくる,送る,to send
N4,おさけ,お酒,alcohol / sake
N4,おさら,お皿,plate
N4,おじさん,伯父さん,uncle
N4,おじいさん,おじいさん,grand father
N4,おす,押す,to push
N4,おそい,遅い,late / slow
N4,おちゃ,お茶,tea
N4,おてあらい,お手洗い,toilet / lavatory
N4,おとうさん,お父さん,father
N4,おとうと,弟,someone’s younger brother
N4,おとこ,男,man
N4,おとこのこ,男の子,boy
N4,おととい,一昨日,the day before yesterday
N4,おととし,一昨年,the year before last
N4,おとな,大人,adult
N4,おなか,お腹,stomach
N4,おなじ,同じ,same
N4,おにいさん,お兄さん,someone’s elder brother
N4,おねえさん,お姉さん,someone’s elder sister
N4,おばさん,伯母さん,aunt
N4,おばあさん,,grandmother
N4,おべんとう,お弁当,lunchbox
N4,おぼえる,覚える,to memorize / to remember
N4,おもい,重い,heavy
N4,おもしろい,面白い,interesting / funny
N4,およぐ,泳ぐ,to swim
N4,おりる,降りる,to get off
N4,おわる,終わる,to end
N4,おんがく,音楽,music
N4,おんな,女,woman
N4,おんなのこ,女の子,girl
N4,〜かい,〜回,~times
N4,〜かい,〜階,~floor
N4,がいこく,外国,foreign country
N4,がいこくじん,外国人,foreigner
N4,かいしゃ,会社,company / enterprise
N4,かいだん,階段,stairs
N4,かいもの,買物,shopping
N4,かう,買う,to buy
N4,かえす,返す,to return an object
N4,かえる,帰る,to return home
N4,かお,顔,face
N4,かかる,,to take time / money
N4,かぎ,鍵,key
N4,かく,書く,to write
N4,がくせい,学生,student
N4,〜かげつ,〜か月,~ number of months
N4,かける,,to wear
N4,かける,,to make a phone call
N4,かさ,傘,umbrella
N4,かす,貸す,to lend
N4,かぜ,風,wind
N4,かぜ,風邪,a cold
N4,かぞく,家族,family
N4,かた,方,person (polite)
N4,かたかな,片仮名,Katakana
N4,いちがつ,一月,January
N4,にがつ,二月,February
N4,さんがつ,三月,March
N4,しがつ,四月,April
N4,ごがつ,五月,May
N4,ろくがつ,六月,June
N4,しちがつ,七月,July
N4,はちがつ,八月,August
N4,くがつ,九月,September
N4,じゅうがつ,十月,October
N4,じゅういちがつ,十一月,November
N4,じゅうにがつ,十二月,December
N4,がっこう,学校,school
N4,かど,角,corner
N4,かない,家内,my wife
N4,かばん,鞄,bag
N4,かびん,花瓶,vase
N4,かぶる,冠る,to put on a hat
N4,かみ,紙,paper
N4,かめら,カメラ,camera
N4,かようび,火曜日,Tuesday
N4,からい,辛い,hot / spicy
N4,からだ,体,body
N4,かりる,借りる,to borrow
N4,〜がります,,3rd person wants to
N4,かるい,軽い,light (not heavy)
N4,カレンダー,カレンダー,calendar
N4,かわ,川,river
N4,~がわ,〜側,~side
N4,かわいい,可愛い,cute / pretty
N4,かんじ,漢字,Kanji character
N4,き,気,Spirit / mood
N4,きかい,機会,Opportunity
N4,きけん,危険,Danger
N4,きこえる,聞こえる,to be heard
N4,きしゃ,汽車,steam train
N4,ぎじゅつ,技術,Skill / art / technique
N4,きせつ,季節,season
N4,きそく,規則,regulations
N4,きっと,,surely
N4,きぬ,絹,Silk
N4,きびしい,厳しい,strict
